區議會分區,Population2019,Voter2019,Proportion,,,,,
中西區,208360,110483,53%,,,,,
灣仔,156100,74839,48%,,,,,
東區,468000,323725,69%,,,,,
南區,225970,151994,67%,,,,,
油尖旺,281000,129150,46%,,,,,
深水埗,351850,204046,58%,,,,,
九龍城,358600,201858,56%,,,,,
黃大仙,360230,264040,73%,,,,,
觀塘,584900,396345,68%,,,,,
荃灣,266800,169773,64%,,,,,
屯門,423510,296282,70%,,,,,
元朗,546580,349322,64%,,,,,
葵青,430680,308771,72%,,,,,
離島,156340,84213,54%,,,,,
北區,265520,186496,70%,,,,,
大埔,262490,187494,71%,,,,,
西貢,404500,274293,68%,,,,,
沙田,588500,419853,71%,,,,,
