區議會分區,Population2019,Voter2019,Proportion,
中西區,208360,110483,0.530251,
灣仔,156100,74839,0.479430,
東區,468000,323725,0.691720,
南區,225970,151994,0.672629,
油尖旺,281000,129150,0.459609,
深水埗,351850,204046,0.579923,
九龍城,358600,201858,0.562906,
黃大仙,360230,264040,0.732976,
觀塘,584900,396345,0.677629,
荃灣,266800,169773,0.636331,
屯門,423510,296282,0.699587,
元朗,546580,349322,0.639105,
葵青,430680,308771,0.716938,
離島,156340,84213,0.538653,
北區,265520,186496,0.702380,
大埔,262490,187494,0.714290,
西貢,404500,274293,0.678104,
沙田,588500,419853,0.713429,
